run_id,universe_id,construction_date,estimation_months,method,mean_terminal_value,median_terminal_value,std_terminal_value,prob_loss
djia_20190601_12m,djia,2019-06-01,12,equal_weight,1.14647207805154,1.14100474785598,0.14561344398051948,0.1615
djia_20190601_12m,djia,2019-06-01,12,naive_risk_parity,1.17121960278672,1.161319099159831,0.13852009104181218,0.095
djia_20190601_12m,djia,2019-06-01,12,markowitz,1.3929419517541086,1.3842561848964636,0.1519081872535516,0.0015
djia_20190601_12m,djia,2019-06-01,12,hrp_recursive,1.230006174435061,1.2240819231396325,0.12300111077549465,0.0205
djia_20190601_12m,djia,2019-06-01,12,hca_deprado_ew_nrp,1.2526711642487993,1.2432438662176422,0.13526278025524796,0.0225
djia_20200601_12m,djia,2020-06-01,12,equal_weight,1.2602976253268061,1.2365409439123436,0.27993582659775595,0.1835
djia_20200601_12m,djia,2020-06-01,12,naive_risk_parity,1.2439253535185824,1.2150655770057273,0.2562363561553203,0.1525
djia_20200601_12m,djia,2020-06-01,12,markowitz,1.9896165298038482,1.9242166543020764,0.5268999974775368,0.01
djia_20200601_12m,djia,2020-06-01,12,hrp_recursive,1.2395245064516804,1.2194243776512053,0.21297652977864936,0.126
djia_20200601_12m,djia,2020-06-01,12,hca_deprado_ew_nrp,1.2716316388899491,1.2521988625147973,0.21925510571788542,0.0955
djia_20200601_24m,djia,2020-06-01,24,equal_weight,1.2030967195423636,1.187012952971954,0.21781586576331954,0.185
djia_20200601_24m,djia,2020-06-01,24,naive_risk_parity,1.2029468524544586,1.1819915390423212,0.20399900619308364,0.143
djia_20200601_24m,djia,2020-06-01,24,markowitz,1.3259329299409146,1.3152448525101534,0.20882935468630365,0.043
djia_20200601_24m,djia,2020-06-01,24,hrp_recursive,1.2083674653829917,1.199760857955446,0.17393905895958314,0.112
djia_20200601_24m,djia,2020-06-01,24,hca_deprado_ew_nrp,1.2234842585185506,1.2129924813159356,0.17846376118085824,0.094
djia_20220103_12m,djia,2022-01-03,12,equal_weight,1.24683365062215,1.241806900814331,0.11736179893996404,0.01
djia_20220103_12m,djia,2022-01-03,12,naive_risk_parity,1.2223975225915569,1.2178537825555233,0.10582275620606657,0.0115
djia_20220103_12m,djia,2022-01-03,12,markowitz,1.5315124997338216,1.5233012379890183,0.1566906593497543,0.0
djia_20220103_12m,djia,2022-01-03,12,hrp_recursive,1.1889299469409857,1.1829682931690635,0.10293154445380803,0.0245
djia_20220103_12m,djia,2022-01-03,12,hca_deprado_ew_nrp,1.212805026065182,1.2080677010430194,0.11432496339112132,0.024
djia_20220103_24m,djia,2022-01-03,24,equal_weight,1.2642139305301303,1.2452070644003883,0.23286378088924037,0.1195
djia_20220103_24m,djia,2022-01-03,24,naive_risk_parity,1.2337242794984624,1.2131922272812288,0.21073453660915165,0.112
djia_20220103_24m,djia,2022-01-03,24,markowitz,1.7500728165973312,1.6934332841494248,0.433617792784673,0.016
djia_20220103_24m,djia,2022-01-03,24,hrp_recursive,1.1548510738443962,1.1460030894683098,0.16839583683954468,0.1715
djia_20220103_24m,djia,2022-01-03,24,hca_deprado_ew_nrp,1.208672575162285,1.1981933786280266,0.1908467450348973,0.1255
djia_20220103_36m,djia,2022-01-03,36,equal_weight,1.29781717881561,1.28321894903919,0.21150629499214144,0.0595
djia_20220103_36m,djia,2022-01-03,36,naive_risk_parity,1.2705839239433372,1.2531871220503532,0.19216369086556856,0.0605
djia_20220103_36m,djia,2022-01-03,36,markowitz,1.5893999005617403,1.5689684636481398,0.3011172847465929,0.0075
djia_20220103_36m,djia,2022-01-03,36,hrp_recursive,1.2041706999507442,1.1972865729134192,0.15692473403345883,0.0835
djia_20220103_36m,djia,2022-01-03,36,hca_deprado_ew_nrp,1.2384327968761062,1.226231932943492,0.17553783849379367,0.074
sp100_style_top100_20190601_12m,sp100_style_top100,2019-06-01,12,equal_weight,1.1295278286467156,1.1217464411104818,0.1460830626093821,0.195
sp100_style_top100_20190601_12m,sp100_style_top100,2019-06-01,12,naive_risk_parity,1.1429832043075752,1.1382366748710195,0.13211550588243778,0.1455
sp100_style_top100_20190601_12m,sp100_style_top100,2019-06-01,12,markowitz,1.4073366965940701,1.4042952943296,0.1418394546768884,0.0015
sp100_style_top100_20190601_12m,sp100_style_top100,2019-06-01,12,hrp_recursive,1.1711535658195862,1.1648141516820163,0.1099500800475488,0.051
sp100_style_top100_20190601_12m,sp100_style_top100,2019-06-01,12,hca_deprado_ew_nrp,1.1327247655413262,1.12537236030263,0.12802273296803723,0.1485
sp100_style_top100_20200601_12m,sp100_style_top100,2020-06-01,12,equal_weight,1.269186133024863,1.2442401040502258,0.27212495833604256,0.1625
sp100_style_top100_20200601_12m,sp100_style_top100,2020-06-01,12,naive_risk_parity,1.2397543736100072,1.221294161938614,0.24323923365165923,0.1685
sp100_style_top100_20200601_12m,sp100_style_top100,2020-06-01,12,markowitz,2.257157383327478,2.1758556394033177,0.6274585674789597,0.004
sp100_style_top100_20200601_12m,sp100_style_top100,2020-06-01,12,hrp_recursive,1.26696326634239,1.2558739800157892,0.20960213543024092,0.089
sp100_style_top100_20200601_12m,sp100_style_top100,2020-06-01,12,hca_deprado_ew_nrp,1.3178432562145561,1.294470449124671,0.23581877978804733,0.074
sp100_style_top100_20200601_24m,sp100_style_top100,2020-06-01,24,equal_weight,1.1955485957984107,1.1823912468575322,0.21030017285349134,0.178
sp100_style_top100_20200601_24m,sp100_style_top100,2020-06-01,24,naive_risk_parity,1.1873922903308083,1.176493950029323,0.19335014846799986,0.165
sp100_style_top100_20200601_24m,sp100_style_top100,2020-06-01,24,markowitz,1.4996163836538956,1.4691175022583214,0.26879164138968437,0.014
sp100_style_top100_20200601_24m,sp100_style_top100,2020-06-01,24,hrp_recursive,1.2120649214301846,1.2074229680444293,0.18215254841747688,0.115
sp100_style_top100_20200601_24m,sp100_style_top100,2020-06-01,24,hca_deprado_ew_nrp,1.2513958897994504,1.2463788145141512,0.1964856442843008,0.09
sp100_style_top100_20220103_12m,sp100_style_top100,2022-01-03,12,equal_weight,1.335963711379618,1.3318287771420514,0.12734581946386972,0.0005
sp100_style_top100_20220103_12m,sp100_style_top100,2022-01-03,12,naive_risk_parity,1.3040860280709872,1.300764999960613,0.1116064862764543,0.0005
sp100_style_top100_20220103_12m,sp100_style_top100,2022-01-03,12,markowitz,1.5839836699943821,1.57517903242262,0.1459000733476447,0.0
sp100_style_top100_20220103_12m,sp100_style_top100,2022-01-03,12,hrp_recursive,1.283346919414224,1.2780179599508812,0.11102166383209243,0.002
sp100_style_top100_20220103_12m,sp100_style_top100,2022-01-03,12,hca_deprado_ew_nrp,1.326197765665088,1.3204605589611045,0.11510333213365717,0.0005
sp100_style_top100_20220103_24m,sp100_style_top100,2022-01-03,24,equal_weight,1.3370870162381574,1.3214340808601355,0.2381586911190453,0.058
sp100_style_top100_20220103_24m,sp100_style_top100,2022-01-03,24,naive_risk_parity,1.2988778737665752,1.2830455629688253,0.21500248998746946,0.0755
sp100_style_top100_20220103_24m,sp100_style_top100,2022-01-03,24,markowitz,1.8309843637523768,1.801987807267225,0.363570640458897,0.0025
sp100_style_top100_20220103_24m,sp100_style_top100,2022-01-03,24,hrp_recursive,1.3765650691878897,1.357301039035271,0.2104283056898729,0.0195
sp100_style_top100_20220103_24m,sp100_style_top100,2022-01-03,24,hca_deprado_ew_nrp,1.3196283736654528,1.3038759127321984,0.19655631148061609,0.0345
sp100_style_top100_20220103_36m,sp100_style_top100,2022-01-03,36,equal_weight,1.3492054326173792,1.3375554021479086,0.21451809248443393,0.0325
sp100_style_top100_20220103_36m,sp100_style_top100,2022-01-03,36,naive_risk_parity,1.3172574276920164,1.305483883086936,0.19434860307546978,0.0375
sp100_style_top100_20220103_36m,sp100_style_top100,2022-01-03,36,markowitz,1.642372126996109,1.6276319800052637,0.2713626843319896,0.002
sp100_style_top100_20220103_36m,sp100_style_top100,2022-01-03,36,hrp_recursive,1.338573919668179,1.3308652551806142,0.18975327143392723,0.0265
sp100_style_top100_20220103_36m,sp100_style_top100,2022-01-03,36,hca_deprado_ew_nrp,1.3589003396384298,1.347186428528436,0.19260600858225155,0.0175
